Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telecoms and Pay TV Complaints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edition: Q4 (October - December) 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Relative volume of complaints per sector per 100,000 customers: Q4 2010 - Q4 2019, by quarter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BT,,9,9,8,9,9,10,8,9,9,9,11,9,9,8,6,9,8,8,7,7,6,8,7,6,8,7,5,8,7,6,7,6,5,7,9,8,8,8,5,9,8,6,6,5,5,5,5,5,6,5,4,6,5,5,4,4,5,7,7,8,7,6,6,7,6,6,5,4,5,5,7,7,6,6,5,6,7,7,6,5,4,5,5,5,5,6,5,6,4,3,4,3,3,5,5,4,5,4,3,4,2,3,2,3,2,3,3,2,2,2,2
EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,8,8,12,12,12,11,13,12,12,15,12,11,12,11,12,11,9,10,6,6,9,7,4,5,7,6,7,7,6,8,4,6,7,6,4,3,3,3,4,1,2,3,2,3,3,3,2,1,1,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1
Plusnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,7,6,9,10,7,13,8,5,4,5,10,5,7,7,11,11,11,8,7,9,8,7,6,6,7,5,6,8,11,7,9,8,7,7,7,3,6,5,8,8,5,7,8,7,6,4,4,4,3,3,4,4,8,13,12,8,7,9,8,8,7,5,7,6,4,7,5,5
Post Office HomePhone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,8,5,5,4,5,12,6,6,4,3,5,6,6,8,7,4,7,7,6,12,9,8,6,5,6,6,9,4,5,9,10,9,6,5,5,5,7,5,12,7,8,9,3,4,3,5,3,6,6,4,3,2,3,3,3,4,2,2,1,3,2,2,3,4,4,5,3
Sky,,12,14,15,9,8,9,7,8,9,8,9,10,9,7,6,7,5,6,5,5,4,4,4,4,5,5,4,4,4,3,5,4,4,5,3,4,4,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,1,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,2,1,1,1,1
TalkTalk Group,,37,62,41,40,38,41,30,31,27,20,31,31,30,29,23,27,24,26,21,20,15,15,15,12,15,13,10,15,13,12,13,11,9,10,10,11,10,9,7,9,10,9,8,7,7,9,7,7,8,8,7,8,7,8,8,10,10,10,8,10,11,11,8,9,8,11,7,6,5,5,6,5,6,10,7,7,6,8,6,5,6,6,8,7,9,9,5,7,5,8,6,6,5,6,6,5,5,6,5,7,6,7,7,5,6,6,7,4,5,5,5
Virgin Media,,4,6,5,5,4,6,5,5,5,5,6,7,7,6,4,6,5,6,5,5,4,5,4,3,4,4,3,4,3,3,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,4,3,5,2,3,2,3,4,4,6,4,6,5,5,4,3
Vodafone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,7,4,5,5,5,5,5,5,6,5,5,6,7,6,5,4
Industry Average ,Total,12,16,13,13,12,14,10,11,11,10,13,12,11,11,8,10,9,10,8,8,7,8,7,6,7,7,5,7,7,6,7,5,5,6,6,6,6,6,4,7,6,5,5,5,4,5,4,5,5,5,4,5,4,5,4,4,5,6,5,6,6,5,5,5,5,5,4,4,4,4,5,5,5,6,5,5,5,6,4,4,4,4,5,4,5,5,4,5,3,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3
