ID,Distance band,Urban/rural,Market,ISP,Headline speed,Technology,Download speed (Mbit/s) 24-hour,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,ISP weights,Nat weights
1302,2563-5000,Urban,3,Virgin,60,Cable,58.597,62.673,56.677,3.04,3.152,3.052,19.139,0,18.578,0,1.871,0.267,2.326,0.422,15.277,0.01%,16.206,0.01%,281.039,300.055,1,0.38
1318,1367-1635,Urban,3,TalkTalk,20,ADSL2+,9.325,11.362,9.162,0.858,0.991,0.876,28.55,0.001,28.672,0,1.715,1.055,4.738,1.942,33.103,0.16%,34.127,0.18%,1073.72,1161.081,1.19,0.96
1319,1992-2563,Urban,3,Sky,20,ADSL2+,5.369,5.726,5.399,0.946,1.002,0.95,22.078,0.001,21.901,0,0.505,0.545,0.467,0.528,21.751,0.29%,22.352,0.33%,1397.531,1538.037,1.44,1.55
1320,1367-1635,Urban,3,Virgin,60,Cable,60.544,62.675,59.84,3.021,3.137,3.029,17.869,0,17.895,0,1.967,0.292,3.073,0.288,11.605,0.16%,12.229,0.01%,236.581,280.076,1,
1321,763-946,Urban,3,Virgin,30,Cable,30.69,32.898,30.531,1.987,2.071,1.869,12.948,0,13.227,0,2.805,0.162,,,15.287,0.01%,16.038,0.00%,236.743,245.472,1,0.59
1325,1367-1635,Rural,2,Plusnet,20,DSL,5.165,5.268,5.15,0.947,1.004,0.941,20.45,0.002,20.641,0.002,0.586,0.48,0.593,0.592,18.573,0.12%,18.765,0.18%,758.913,836.715,1.19,0.1
1326,1635-1992,Urban,3,Virgin,60,Cable,59.61,63.061,58.276,2.973,3.199,2.974,30.22,0,32.43,0,5.89,0.268,8.892,0.42,20.885,0.10%,21.905,0.04%,352.825,387.465,1,
1329,582-763,Urban,3,Virgin,60,Cable,60.365,62.669,57.245,3.051,3.156,3.049,12.964,0,13.29,0,1.604,0.282,2.054,0.355,14.663,0.05%,15.718,0.01%,272.546,262.039,1,
1333,582-763,Urban,3,Plusnet,20,DSL,14.506,16.446,13.889,0.808,1.103,0.798,33.325,0.002,34.119,0.002,0.62,0.494,0.71,0.658,31.414,0.31%,32.32,0.09%,526.403,539.657,0.99,
1338,0-385,Urban,3,Virgin,30,Cable,31.212,33.348,30.842,1.985,2.101,1.969,27.005,0,29.667,0,5.48,0.276,7.898,0.497,22.178,0.06%,24.384,0.01%,384.393,459.611,1,0.59
1343,1143-1367,Rural,1,Sky,20,DSL,20.148,20.607,20.134,1.336,1.533,1.319,21.693,0,21.05,0,0.54,0.468,0.538,0.473,18.62,0.08%,18.625,0.00%,944.48,937.811,,0.34
1345,1992-2563,Rural,1,Plusnet,8,DSL,2.761,2.922,2.775,0.378,0.516,0.377,49.198,0.001,50.477,0.002,0.686,0.622,0.671,1.41,47.584,0.16%,48.799,0.00%,1456.589,1465.096,,
1348,1635-1992,Urban,3,Virgin,30,Cable,27.21,31.392,27.145,1.993,2.101,2.002,14.755,0,14.225,0,3.498,0.224,2.911,0.259,15.415,0.13%,17.938,0.02%,269.364,243.438,1,0.59
1349,1367-1635,Urban,3,Virgin,60,Cable,43.376,62.674,47.266,3.032,3.147,3.031,9.653,0,9.611,0,1.468,0.199,1.338,0.272,8.632,0.08%,8.685,0.40%,667.256,385.462,1,
1352,385-582,Urban,3,Sky,20,ADSL2+,13.869,14.292,13.817,1.167,1.262,1.164,22.52,0.001,21.79,0,0.413,0.518,0.43,0.522,16.685,0.53%,16.837,0.64%,1346.793,1246.143,0.62,0.52
1353,1635-1992,Urban,3,Virgin,60,Cable,62.629,62.676,62.629,3.033,3.158,3.037,13.307,0,13.129,0,1.653,0.685,1.701,0.729,14.954,0.03%,15.065,0.00%,281.865,273.021,1,0.38
1354,763-946,Urban,3,O2,20,ADSL2+,9.922,10.47,9.942,0.956,1.055,0.952,24.056,0,23.815,0,0.497,0.479,0.481,0.524,20.699,0.42%,21.27,0.32%,1710.071,1806.399,1.24,0.88
1355,0-385,Urban,2,Plusnet,20,DSL,15.471,15.954,15.345,1.085,1.162,1.097,24.201,0.001,24.344,0,0.546,0.483,0.553,0.686,22.737,0.04%,23.048,0.01%,394.927,409.069,0.66,
1360,1992-2563,Rural,3,O2,20,ADSL2+,6.498,6.783,6.497,1.044,1.115,1.043,31.741,0.002,31.503,0.003,0.489,0.548,0.544,1.03,29.995,0.22%,29.943,0.37%,1896.599,2160.904,1.03,1.29
1362,1367-1635,Rural,1,BT,8,DSL,3.131,3.783,3.115,0.396,0.451,0.389,34.08,0.001,34.1,0,1.235,0.642,1.464,0.827,32.598,0.08%,32.603,0.03%,1790.815,1692.606,,0.2
1366,0-385,Urban,3,Sky,20,ADSL2+,18.227,19.225,18.136,1.102,1.183,1.099,21.827,0,21.517,0,0.564,0.433,0.604,0.491,20.826,0.09%,20.882,0.02%,506.919,621.01,0.72,0.52
1369,1143-1367,Urban,2,Sky,20,ADSL2+,11.958,12.465,11.942,0.968,1.052,0.966,24.799,0,24.398,0,0.614,0.278,0.682,0.287,21.53,0.10%,21.448,0.15%,1333.031,1142.044,1.23,
1384,582-763,Urban,3,Plusnet,20,DSL,12.826,15.15,12.649,0.423,0.484,0.426,24.953,0.003,24.792,0.027,1.256,0.478,1.305,0.601,23.765,0.34%,23.924,1.32%,689.6,676.83,0.99,
1390,2563-5000,Urban,1,BT,20,DSL,1.99,2.346,1.991,0.631,0.779,0.611,36.471,0,36.638,0,0.946,0.587,0.948,0.71,35.208,0.08%,35.354,0.10%,1755.598,1740.898,,1.42
1391,2563-5000,Urban,3,Virgin,60,Cable,58.78,62.674,59.124,2.969,3.15,2.972,14.943,0,15.135,0,1.574,0.272,1.896,0.358,20.669,0.33%,21.361,0.49%,327.389,379.497,1,0.38
1393,1143-1367,Urban,3,BT,20,DSL,12.817,13.274,12.893,0.939,1.077,0.967,16.196,0,15.565,0,2.483,0.501,0.733,0.796,20.076,0.09%,15.233,0.27%,438.242,360.416,0.73,0.88
1401,1992-2563,Urban,3,Virgin,60,Cable,62.49,62.674,62.617,3.043,3.157,3.034,16.001,0,16.246,0,1.583,0.241,1.665,0.324,17.92,0.06%,18.413,0.06%,283.087,328.587,1,0.38
1407,2563-5000,Urban,3,Sky,20,ADSL2+,2.792,3.145,2.79,0.875,0.986,0.873,23.921,0.005,23.286,0.002,0.577,0.51,0.574,0.523,26.581,0.75%,26.747,0.45%,1958.785,1845.748,1.92,1.68
1408,1992-2563,Urban,3,BT,8,DSL,1.874,2.219,1.794,0.415,0.591,0.436,29.976,0,36.105,0,0.691,0.446,0.692,0.645,26.033,0.28%,28.974,0.17%,1812.758,2131.88,0.71,0.99
1409,1992-2563,Urban,3,Plusnet,8,DSL,2.792,3.945,2.59,0.635,0.812,0.667,30.362,0.005,30.243,0,0.637,0.575,0.638,0.778,28.815,0.29%,29.24,0.20%,1409.001,1523.247,1.05,
1412,0-385,Urban,2,Virgin,60,Cable,58.792,62.673,57.644,2.963,3.132,2.958,14.925,0,15.131,0,8.206,0.191,6.983,0.271,12.236,0.03%,12.788,0.03%,244.947,221.417,1,
1415,385-582,Urban,3,Sky,20,ADSL2+,15.845,16.333,15.815,1.299,1.428,1.305,34.335,0,33.791,0,0.72,0.446,0.694,0.438,36.137,0.17%,36.113,0.05%,547.925,577.45,0.62,
1417,2563-5000,Rural,2,BT,20,DSL,1.354,1.485,1.362,0.684,0.85,0.692,20.864,0,20.547,0,0.685,0.558,0.685,0.553,20.211,0.04%,21.081,0.03%,3817.456,3618.148,1.54,1.12
1419,2563-5000,Rural,2,TalkTalk,20,ADSL2+,1.475,1.67,1.507,0.554,0.644,0.542,53.323,0.007,56.772,0.012,1.08,0.596,0.697,0.821,43.002,1.09%,45.759,4.06%,2917.116,3432.037,0.95,1.23
1420,1143-1367,Urban,3,Sky,20,ADSL2+,10.575,11.557,10.479,0.991,1.071,0.992,24.211,0.001,23.651,0.003,0.51,0.299,0.486,0.311,26.027,0.37%,26.073,0.36%,689.356,892.009,0.86,1.01
1421,1143-1367,Urban,3,AOL,20,DSL,9.486,10.93,9.5,0.926,1.034,0.912,35.767,0.001,35.701,0.002,0.836,0.89,0.884,0.981,32,0.06%,32.205,0.03%,621.002,623.396,,1.08
1422,582-763,Urban,1,Plusnet,8,DSL,6.598,6.91,6.481,0.418,0.629,0.414,25.862,0,26.327,0,0.736,0.344,0.713,0.634,24.66,0.02%,24.349,0.01%,725.695,727.259,,
1427,2563-5000,Urban,3,Sky,20,ADSL2+,3.937,3.943,,0.658,0.714,,21.972,0,20.291,0,0.565,0.506,,,24.928,0.14%,,,1082.188,,,1.68
1428,0-385,Urban,3,BT,20,DSL,6.054,6.977,6.163,0.856,0.973,0.853,27.489,0.001,27.53,0.002,0.724,0.551,0.733,0.557,26.882,0.14%,27.009,0.10%,731.482,743.23,0,
1429,5000+,Urban,4,Karoo,20,ADSL2+,9.774,10.39,9.93,0.876,0.96,0.876,13.03,0.001,12.603,0.003,0.583,0.88,0.476,0.813,12.152,0.24%,12.057,0.55%,1201.551,1207.303,,0.06
1433,1992-2563,Urban,1,BT,8,DSL,3.865,3.998,3.864,0.401,0.472,0.405,35.237,0.002,36.204,0,2.97,0.893,1.715,0.94,32.463,0.02%,33.076,0.02%,1284.168,1258.182,,0.4
1436,1143-1367,Urban,3,O2,20,ADSL2+,11.072,12.005,11.088,1.1,1.183,1.106,23.508,0,23.16,0,0.492,0.626,0.662,0.622,19.823,0.19%,20.08,0.45%,1698.778,1673.271,1.24,0.88
1437,0-385,Urban,3,Sky,20,ADSL2+,14.644,15.311,14.468,0.906,1.001,0.908,22.406,0.001,22.389,0.002,1.125,0.412,1.132,0.543,20.999,0.03%,21.205,0.09%,550.318,772.299,0.72,0.52
1439,2563-5000,Urban,1,Sky,8,ADSL2+,3.091,3.393,3.019,0.93,1.015,0.915,13.926,0.001,16.969,0.003,0.532,0.446,0.533,0.423,9.598,0.30%,13.987,0.13%,1867.849,1877.179,,0.17
1441,1992-2563,Urban,3,Virgin,20,Cable,20.313,20.403,20.214,1.166,1.254,1.175,15.83,0,16.907,0,4.404,0.207,5.978,0.32,16.544,0.08%,18.183,0.01%,407.661,404.858,1,1.61
1446,582-763,Urban,3,Orange,20,DSL,16.999,19.515,16.199,1.181,1.386,1.151,22.194,0.002,22.52,0.01,0.558,0.432,0.524,0.463,16.77,0.32%,16.902,0.45%,429.427,797.419,0.74,0.47
1452,1635-1992,Urban,3,Virgin,60,Cable,59.808,62.676,57.209,3.045,3.16,3.039,19.687,0,18.07,0,1.657,0.264,2.062,0.418,13.062,0.08%,13.917,0.02%,251.583,259.936,1,
1454,582-763,Urban,3,Virgin,30,Cable,31.147,33.345,30.596,2.002,2.08,1.994,11.187,0.018,10.727,0.009,2.431,0.143,2.528,0.23,8.925,0.14%,9.142,0.00%,280.256,161.591,1,0.59
1455,385-582,Urban,2,BT,20,DSL,13.419,14.029,13.445,1.226,1.326,1.21,35.56,0,35.458,0,0.537,0.381,0.535,0.4,35.711,0.02%,35.931,0.00%,553.708,586.363,0.91,0.2
1456,1635-1992,Urban,3,TalkTalk,20,ADSL2+,6.859,6.973,6.738,0.72,0.785,0.716,26.403,0.001,26.317,0.003,0.791,0.546,0.853,0.644,30.571,0.36%,30.819,0.47%,1221.736,1164.831,1.19,1.47
1464,582-763,Urban,2,Sky,20,ADSL2+,17.237,18.017,16.032,0.926,1.032,0.93,26.403,0,25.739,0,0.7,0.359,,,18.961,0.21%,19.085,0.11%,658.343,525.454,0.62,0.23
1468,582-763,Urban,1,Plusnet,8,DSL,6.704,6.823,6.667,0.937,1.073,0.942,30.653,0.001,30.66,0.004,0.609,0.483,0.593,0.655,29.418,0.01%,29.613,0.02%,720.812,714.944,,
1470,1992-2563,Urban,3,Virgin,60,Cable,62.192,63.039,61.357,3.337,3.537,3.345,13.778,0,13.893,0,3.06,0.25,3.825,0.412,12.697,0.05%,14.085,0.01%,284.536,231.595,1,0.38
1472,2563-5000,Urban,1,Sky,20,ADSL2+,4.519,4.765,4.482,1.045,1.13,1.047,20.399,0.001,20.024,0.002,0.5,0.447,0.525,0.504,18.976,0.22%,19.2,0.22%,2056.085,2147.635,,1.64
1474,0-385,Urban,1,TalkTalk,20,ADSL2+,13.339,13.442,13.288,0.716,0.782,0.704,30.351,0,30.878,0.002,0.883,0.742,0.95,0.964,21.462,0.05%,21.908,0.07%,1260.508,1147.634,,
1475,1367-1635,Urban,4,Karoo,20,ADSL2+,5.559,6.339,5.578,0.865,0.919,0.867,33.776,0.007,34.159,0,0.485,0.451,0.514,0.435,34.405,1.01%,34.256,0.17%,806.179,833.533,1.46,
1477,1143-1367,Urban,3,Virgin,60,Cable,56.629,62.886,53.831,3.023,3.118,3.053,10.262,0,11.389,0,2.886,0.788,,,9.45,0.52%,10.571,0.00%,166.278,171.002,1,0.38
1479,2563-5000,Rural,1,Sky,8,ADSL2+,2.297,2.719,2.142,0.702,0.824,0.709,19.91,0.001,31.499,0,0.624,0.652,0.636,0.602,13.663,0.24%,12.126,0.16%,2243.847,2522.135,,
1480,1143-1367,Rural,1,BT,8,DSL,5.798,6.742,6.023,0.417,0.567,0.439,55.485,0.003,51.714,0,2.438,1.308,2.485,1.508,49.311,0.21%,49.535,0.22%,1488.52,1209.635,,0.17
1483,1635-1992,Urban,3,Virgin,60,Cable,61.563,62.674,60.914,3.03,3.193,3.005,17.04,0,16.212,0,2.605,0.223,4.172,0.307,13.06,0.02%,13.53,0.01%,253.995,242.046,1,
1485,1635-1992,Urban,3,TalkTalk,20,ADSL2+,5.278,5.703,5.306,0.613,0.7,0.604,37.151,0.001,37.166,0.002,0.687,0.49,0.915,0.628,42.02,0.08%,42.273,0.32%,926.861,933.831,1.19,1.47
1486,1367-1635,Urban,3,Be,20,ADSL2+,5.009,5.413,5.131,1.027,1.111,1.036,27.273,0.001,27.905,0,0.537,0.849,0.605,2.073,23.191,0.80%,24.393,0.32%,2212.263,1851.491,1.03,1.01
1488,0-385,Urban,3,Sky,20,ADSL2+,18.47,18.79,18.413,1.143,1.236,1.143,16.692,0.001,16.486,0,0.501,0.397,0.477,0.399,15.078,0.52%,15.153,0.44%,1490.294,1705.596,0.72,0.52
1497,582-763,Urban,3,Virgin,60,Cable,62.839,63.13,62.8,3.33,3.509,3.32,14.364,0,14.382,0,2.773,0.178,3.219,0.33,14.241,0.05%,14.821,0.00%,256.145,275.64,1,
1500,582-763,Urban,3,TalkTalk,20,ADSL2+,15.666,15.875,15.657,0.853,0.908,0.86,24.26,0,24.735,0,0.876,0.489,0.955,0.746,27.701,0.01%,28.216,0.00%,494.58,527.047,1.36,0.49
1502,0-385,Urban,3,BT,20,DSL,17.27,17.965,17.099,0.932,1.003,0.928,18.851,0,18.579,0,0.641,0.375,0.562,0.355,19.726,0.06%,20.024,0.00%,375.576,399.778,0.91,0.45
1503,2563-5000,Urban,3,BT,20,DSL,3.91,4.699,3.899,0.838,1.046,0.85,34.084,0.001,34.557,0.002,0.603,0.371,0.633,0.423,33.837,0.06%,33.914,0.08%,1058.588,1099.037,1.54,3.27
1509,0-385,Urban,3,TalkTalk,20,ADSL2+,19.381,19.711,19.346,0.864,0.923,0.864,20.694,0,20.534,0,0.865,0.379,0.875,0.458,12.576,0.01%,12.409,0.00%,2952.746,3060.005,0.54,0.49
1520,0-385,,,Plusnet,20,DSL,10.362,10.829,10.2,0.901,1.09,0.885,31.14,0.01,37.276,0,19.38,0.496,22.937,0.545,28.454,0.06%,,,1592.747,1482.029,0.66,
1522,0-385,Urban,3,Sky,20,ADSL2+,17.405,19.356,17.373,1.162,1.314,1.149,14.131,0.001,13.81,0,0.59,0.545,0.542,0.646,11.573,0.10%,11.672,0.03%,1733.704,1493.337,0.72,0.52
1523,763-946,Urban,3,TalkTalk,20,ADSL2+,14.554,14.939,14.723,0.88,0.984,0.889,36.133,0.001,35.974,0,2.863,9.657,2.92,9.656,27.55,0.55%,27.428,0.65%,675.693,615.002,1.36,0.84
1525,763-946,Urban,2,Orange,8,DSL,6.277,6.706,6.029,0.513,0.62,0.506,60.491,0.001,61.769,0.003,1.384,0.59,1.302,1.324,53.42,0.10%,54.196,0.30%,1142.162,1357.937,,
1526,763-946,Urban,3,Sky,20,ADSL2+,3.526,3.568,3.529,0.68,0.79,0.666,58.555,0.001,58.25,0,0.717,1.354,0.735,1.428,56.675,0.85%,56.639,0.10%,1964.669,1894.162,1.23,0.88
1534,1635-1992,Urban,3,Orange,8,DSL,1.524,1.67,1.524,0.771,0.889,0.791,17.39,0.006,17.614,0.047,0.733,0.585,0.72,0.805,10.936,0.17%,11.393,0.47%,2314.734,2410.999,,0.23
1539,1992-2563,Urban,3,Be,20,ADSL2+,4.749,4.999,4.786,0.995,1.058,0.998,25.485,0.002,24.936,0.002,0.492,0.482,0.47,0.464,21.506,0.35%,21.315,0.34%,1832.876,2201.017,1.03,1.55
1542,2563-5000,Rural,3,BT,8,DSL,1.753,1.882,1.748,0.356,0.471,0.361,38.511,0.002,44.125,0.002,1.501,0.664,1.564,0.598,35.238,0.12%,35.831,0.07%,2151.764,2330.987,0.71,1.7
1550,763-946,Urban,3,Sky,8,ADSL2+,5.943,6.063,5.924,0.68,0.781,0.68,25.724,0,25.3,0,0.91,0.51,1.179,0.605,28.728,0.17%,28.802,0.01%,1396.112,1321.728,,
1558,582-763,Urban,3,BT,20,DSL,13.75,14.579,13.105,0.753,0.819,0.752,37.533,0,38.403,0.002,0.773,0.549,0.711,1.167,36.912,0.07%,38.551,0.07%,582.09,567.352,1.1,0.45
1562,1367-1635,Rural,1,Orange,8,DSL,4.754,5.815,4.694,0.372,0.489,0.381,57.514,0.001,58.619,0,1.185,1.153,1.081,1.679,52.326,0.58%,53.345,0.69%,1133.185,1048.218,,
1564,1367-1635,Urban,3,Virgin,60,Cable,51.557,62.659,45.55,3.053,3.22,3.049,14.498,0,15.751,0,2.97,0.27,4.202,0.334,19.191,0.02%,20.339,0.01%,335.4,363.234,1,
1565,2563-5000,Rural,3,AOL,8,ADSL2+,2.511,2.628,2.485,0.621,0.702,0.612,47.775,0.001,47.074,0,0.639,0.598,0.699,0.728,45.047,0.15%,45.169,0.16%,1606.59,1788.897,,0.16
1571,1367-1635,Urban,2,BT,20,DSL,8.299,9.191,8.18,0.934,1.033,0.929,39.918,0.002,39.694,0.002,0.769,0.521,0.748,0.529,38.899,0.19%,39.178,0.54%,734.677,821.89,1.03,0.39
1574,1635-1992,Urban,3,Virgin,50,Cable,48.599,62.945,,3.05,3.148,,21.45,0.001,16.705,0,2.102,0.153,,,14.375,0.37%,,,253.919,,,
1578,582-763,Urban,3,Sky,20,ADSL2+,11.801,12.462,11.951,0.936,1.039,0.935,19.652,0.001,19.227,0,0.544,0.339,0.526,0.305,21.424,0.32%,21.854,0.18%,1614.299,1574.33,0.62,0.52
1589,0-385,Urban,1,BT,8,DSL,6.536,6.93,6.38,0.395,0.456,0.402,15.586,0,15.755,0,0.981,0.46,0.728,0.587,14.039,0.04%,14.16,0.00%,640.394,737.988,,
1599,582-763,Urban,3,Sky,20,ADSL2+,9.674,9.76,9.731,0.822,0.887,0.823,27.368,0.002,27.131,0,0.952,0.291,0.924,0.299,23.644,0.09%,23.621,0.11%,770.773,,0.62,0.52
1610,2563-5000,Urban,3,Sky,8,DSL,0.857,0.885,0.826,0.497,0.64,0.488,51.744,0.003,49.93,0.004,1.479,0.409,1.535,0.39,48.729,0.27%,55.247,0.61%,4586.939,4894.21,,0.4
1618,2563-5000,Rural,1,BT,8,DSL,1.86,2.302,1.852,0.416,0.524,0.419,47.997,0.003,48.128,0.012,0.738,0.502,0.708,0.572,46.739,0.26%,46.807,0.47%,3411.744,3560.909,,0.74
1621,1635-1992,Urban,3,Sky,20,ADSL2+,6.184,6.549,5.806,0.956,1.085,0.885,37.847,0.001,38.466,0.005,0.928,0.814,0.958,1.248,30.391,0.30%,33.771,0.55%,1414.002,1222.455,1.44,1.55
1635,1367-1635,Urban,2,Sky,20,ADSL2+,8.236,9.451,7.962,0.99,1.078,0.985,28.091,0.001,27.432,0,0.592,0.615,0.786,0.632,24.115,0.43%,24.244,0.21%,1245.493,1259.768,0.86,0.45
1641,582-763,Urban,3,BT,20,DSL,13.285,15.328,13.342,0.909,1,0.872,23.856,0.015,32.42,0.016,3.387,0.581,5.516,0.546,21.721,0.83%,30.355,1.33%,692.818,1606.197,1.1,0.45
1649,385-582,Urban,1,AAisp,20,DSL,14.774,16.202,14.055,1.132,1.337,1.117,56.251,0.001,55.262,0,0.613,0.611,0.713,0.799,40.189,0.03%,40.787,0.00%,603.466,682.145,,0.24
1653,2563-5000,Urban,3,Virgin,60,Cable,62.291,63.161,62.233,3.285,3.572,3.256,16.62,0,18.775,0,2.93,0.193,3.494,0.309,19.712,0.04%,20.767,0.02%,328.88,382.382,1,0.38
1658,1635-1992,Urban,3,BT,8,DSL,0.67,0.711,0.664,0.394,0.46,0.397,48.361,0.002,49.692,0.007,0.811,1.197,0.787,1.3,47.383,0.12%,,,5361.894,6274.765,1.89,0.91
1674,0-385,Urban,2,Sky,20,ADSL2+,18.335,20.273,18.61,1.083,1.211,1.104,40.976,0.004,33.059,0,9.854,0.416,4.599,0.428,38.949,0.62%,33.692,0.06%,1007.322,681.785,0.72,0.23
1676,385-582,Rural,1,BT,20,DSL,12.267,13.983,12.151,0.957,1.024,0.965,28.752,0,28.9,0,0.415,0.428,0.54,0.637,28.304,0.04%,28.688,0.02%,517.769,492.075,,
1678,1992-2563,Rural,3,TalkTalk,20,ADSL2+,3.035,3.052,3.033,0.647,0.696,0.651,35.738,0,36.086,0,0.553,0.429,,,40.881,0.14%,41.034,0.00%,2379.542,2574.631,0.95,1.23
1680,0-385,Rural,1,BT,8,DSL,6.254,6.928,5.135,0.39,0.518,0.396,54.83,0,56.364,0,1.494,0.6,1.475,1.127,53.913,0.12%,54.674,0.14%,968.954,1108.808,,0.1
1681,1143-1367,Urban,4,Karoo,20,ADSL2+,7.005,10.183,7.192,1.03,1.226,1.052,13.867,0.069,14.005,,0.575,0.505,0.513,0.397,13.691,4.50%,14.265,7.33%,1143.979,958.443,1.22,
1682,1635-1992,Urban,3,Sky,20,ADSL2+,5.016,5.668,5.02,0.996,1.185,0.992,25.907,0,24.237,0,0.804,0.546,0.806,0.559,28.492,0.35%,26.951,0.23%,1521.705,1524.432,1.44,1.55
1684,1992-2563,Urban,1,Tiscali,20,DSL,2.872,3.352,2.933,0.705,0.791,0.698,40.608,0.008,40.27,0.002,0.591,0.531,0.736,0.627,38.028,1.53%,38.84,1.62%,3235.829,2828.785,,
1688,582-763,Urban,3,Sky,20,ADSL2+,17.929,18.636,17.762,1.116,1.304,1.106,49.57,0.001,51.62,0,0.568,0.384,0.935,0.56,12.881,0.19%,13.25,0.16%,1204.321,1005.735,0.62,
1706,763-946,Urban,3,TalkTalk,20,ADSL2+,5.947,6.177,5.967,0.742,0.852,0.745,24.708,0.002,24.182,0,1.372,0.672,1.126,0.644,28.691,0.05%,28.773,0.03%,1468.045,1466.144,1.36,0.84
1709,582-763,Urban,1,BT,8,DSL,6.709,6.931,6.519,0.399,0.451,0.394,22.247,0,22.436,0,0.832,0.455,1.046,0.786,21.109,0.01%,22.046,0.03%,661.111,684.22,,0.13
1710,2563-5000,Urban,3,BT,20,DSL,1.658,2.06,1.665,0.828,0.897,0.831,25.439,0,25.782,0,0.576,0.991,0.572,0.992,24.406,0.02%,25.723,0.00%,2155.962,2156.971,1.54,1.46
1715,0-385,Rural,1,BT,8,DSL,6.436,6.949,6.178,0.432,0.575,0.433,25.117,0.001,25.85,0.005,0.699,0.342,0.819,0.658,24.515,0.09%,24.938,0.16%,710.999,856.521,,0.1
1718,0-385,Urban,3,BT,20,DSL,15.596,16.27,15.519,1.091,1.222,1.095,21.563,0,21.679,0,0.565,0.389,0.57,0.385,21.155,0.08%,20.871,0.02%,386.738,393.049,0.91,0.45
1720,5000+,Rural,1,BT,8,DSL,0.661,1.212,0.693,0.441,0.65,0.444,52.093,0.008,52.453,0.02,0.708,1.056,0.697,0.991,49.189,0.14%,50.195,0.52%,6553.937,6629.028,,0.74
1729,1367-1635,Urban,3,BT,8,DSL,5.59,6.658,5.514,0.441,0.627,0.443,35.07,0.001,34.601,0.013,0.805,0.462,0.71,0.451,33.725,0.13%,33.345,0.54%,889.043,894.099,1.89,0.6
1734,1992-2563,Rural,1,TalkTalk,20,ADSL2+,6.708,7.007,6.702,0.892,1.008,0.884,37.265,0.001,38.18,0.005,0.809,0.463,0.862,0.546,28.602,0.08%,29.106,0.16%,743.009,777.409,,0.54
1736,0-385,Urban,2,Orange,20,DSL,16.255,17.032,16.446,1.203,1.358,1.181,24.939,0.002,25.106,0,0.6,0.488,0.566,0.454,18.582,0.07%,18.683,0.05%,1571.656,1559.87,0.58,0.21
1738,0-385,Urban,1,TalkTalk,20,ADSL2+,15.954,17.68,15.879,0.725,0.844,0.718,28.383,0,28.538,0,0.597,0.418,0.667,0.541,19.308,0.02%,19.528,0.00%,2654.577,2722.462,,
1742,1992-2563,Rural,1,BT,8,DSL,5.246,5.877,5.194,0.359,0.474,0.354,34.396,0.001,35.005,0,1.21,0.464,1.317,0.534,32.576,0.15%,33.369,0.02%,1036.888,953.909,,0.33
1743,763-946,Urban,3,BT,20,DSL,14.724,15.104,14.664,0.76,0.816,0.762,24.187,0,24.301,0,0.589,0.432,0.59,0.484,22.617,0.09%,22.748,0.04%,422.963,413.964,1.1,0.77
1746,1143-1367,Urban,3,Sky,8,ADSL2+,4.096,4.972,3.887,1.025,1.102,1.023,25.045,0.001,24.281,0,0.541,0.542,0.536,0.669,26.597,0.33%,27.012,0.11%,1594.346,1436.039,,
1751,2563-5000,Urban,3,Virgin,60,Cable,59.782,62.674,58.679,2.901,3.473,2.898,12.476,0.001,11.627,0,1.963,0.261,1.842,0.32,13.48,0.16%,12.908,0.13%,241.425,262.892,1,
1752,1367-1635,Rural,2,TalkTalk,20,ADSL2+,6.23,6.925,6.284,0.731,0.827,0.73,40.074,0.002,40.034,0,0.959,0.566,1.624,0.467,36.894,0.49%,37.064,0.60%,1362.762,1461.321,1.19,0.33
1765,1143-1367,Urban,3,Virgin,8,DSL,1.914,2.048,1.917,0.793,0.872,0.798,40.916,0,53.204,0,0.711,0.897,0.671,3.597,40.319,0.04%,51.197,0.21%,2072.636,2246.16,,0.07
1771,946-1143,Urban,3,BT,20,DSL,9.459,9.664,9.425,1.166,1.275,1.174,10.109,0,10.202,0,0.423,0.364,0.422,0.394,8.792,0.13%,8.849,0.02%,414.394,423.411,0.73,0.77
1783,1635-1992,Urban,3,Tiscali,20,DSL,4.165,4.342,4.196,0.711,0.85,0.703,38.283,0.002,38.011,0,1.337,0.743,1.451,0.812,35.421,0.11%,35.49,0.02%,1637.656,1872.825,1.19,0.44
1804,763-946,Urban,1,Plusnet,20,DSL,6.704,6.739,6.711,0.718,0.774,0.719,19.315,0.001,19.433,0,0.609,0.353,0.589,0.443,18.139,0.01%,18.378,0.01%,616.005,620.658,,
1805,946-1143,Urban,3,Orange,20,DSL,12.795,13.438,12.779,0.878,0.934,0.867,27.8,0,27.176,0,0.564,0.392,0.552,0.39,22.784,0.07%,22.975,0.15%,465.261,456.882,1.3,
