ID,Distance band,Urban/rural,Market,ISP,Headline speed,Technology,Download speed (Mbit/s) 24-hour,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,ISP weights,Nat weights
125734,385-582,Urban,1,Virgin,30,Cable,33.309,33.363,33.253,1.981,2.036,1.977,13.565,0.001,13.165,0.002,2.259,0.142,2.52,0.222,14.127,0.12%,14.631,0.26%,245.578,249.169,,0.26
125736,1635-1992,Urban,3,Virgin,30,Cable,36.959,44.442,37.471,6.727,9.587,7.521,31.172,0.003,33.534,0.009,0.499,0.314,,,27.387,1.75%,31.288,3.36%,428.229,543.873,1,0.59
125738,1367-1635,Urban,3,BT,20,DSL,15.477,16.548,14.634,0.996,1.072,1.002,17.515,0,17.348,0,0.406,0.368,0.47,0.479,16.73,0.02%,17.813,0.02%,393.148,465.739,1.03,0.88
125740,1143-1367,Urban,3,Virgin,120,Cable,122.336,126.721,118.459,11.424,12.293,11.315,12.715,0.019,14.683,0,4.744,0.216,6.282,0.495,9.383,0.09%,10.975,0.04%,1217.114,955.681,1,0.23
125746,5000+,Rural,2,Orange,8,DSL,1.151,1.205,1.148,0.393,0.502,0.39,47.248,0.002,48.349,0.002,1.29,0.73,1.438,1.169,40.43,0.11%,41.53,0.14%,3310.923,3430.783,,0.19
125752,1143-1367,Urban,3,Virgin,120,Cable,126.13,126.915,125.931,11.555,11.816,11.542,12.292,0,11.909,0,2.096,0.09,2.125,0.133,10.201,0.05%,10.37,0.00%,157.633,156.737,1,
125754,2563-5000,Urban,3,TalkTalk,20,ADSL2+,1.168,1.198,1.16,0.644,0.671,0.645,38.792,0,38.673,0,0.625,0.577,0.692,0.816,43.619,0.02%,49.423,0.01%,3894.795,4001.668,0.95,3.59
125758,0-385,Urban,3,Orange,20,DSL,12.121,12.254,12.149,1.253,1.39,1.249,21.319,0.003,20.784,0,0.572,0.319,0.556,0.353,15.432,0.05%,15.506,0.07%,385.841,379.986,0.58,0.47
125766,1143-1367,Urban,3,Virgin,120,Cable,122.834,126.746,121.305,11.551,11.769,11.55,10.177,0,10.048,0,2.059,0.102,2.098,0.169,9.496,0.13%,9.677,0.04%,151.793,193.135,1,
125768,2563-5000,Rural,1,BT,8,DSL,1.569,1.867,1.51,0.385,0.408,0.381,37.73,0,37.423,0,1.485,0.695,,,36.813,0.31%,37.275,0.17%,3553.922,3651.292,,0.74
125770,763-946,Urban,3,Sky,8,ADSL2+,3.226,3.54,3.204,0.583,0.705,0.58,,,,,4.912,0.945,2.648,0.411,35.167,0.51%,34.391,1.23%,,,,
125772,1367-1635,Urban,3,Virgin,120,Cable,111.341,126.712,100.179,9.854,11.802,9.815,16.323,0.003,17.437,0,5.868,0.176,8.851,0.279,17.539,0.17%,20.227,0.02%,259.985,276.022,1,
125776,2563-5000,Urban,3,Virgin,120,Cable,117.987,126.726,109.906,10.908,11.801,9.998,22.297,0,22.122,0.003,5.173,0.119,8.261,0.179,12.294,0.06%,12.818,0.02%,245.117,215.588,1,
125778,2563-5000,Urban,4,Karoo,20,ADSL2+,16.235,17.511,16.209,1.1,1.138,1.1,13.934,0.007,12.341,0,0.391,0.366,0.38,0.377,10.916,0.86%,10.964,0.98%,318.048,286.927,0.58,
125780,1143-1367,Urban,3,Virgin,120,Cable,94.537,126.701,86.848,11.594,11.918,11.615,13.74,0.001,14.543,0,2.66,0.185,3.648,0.336,17.406,0.04%,18.54,0.08%,263.3,298.901,1,
125782,2563-5000,Urban,3,BT,20,DSL,1.615,1.954,1.688,0.684,0.73,0.675,33.772,0,34.346,0,0.813,0.54,0.946,0.636,32.096,0.35%,34.125,0.77%,2215.843,2111.171,1.54,3.27
125784,0-385,Urban,3,BT,2,,1.682,1.706,1.686,0.403,0.507,0.41,30.861,0,30.942,0,0.696,0.458,0.7,0.481,30.97,0.08%,30.812,0.04%,2141.164,2124.654,,0.01
125788,582-763,Urban,3,Virgin,30,Cable,32.899,33.253,32.396,1.998,2.046,1.998,16.815,0,15.945,0,1.513,0.219,1.706,0.304,15.192,0.08%,15.566,0.00%,270.562,276.567,1,0.59
125792,763-946,Urban,3,Sky,20,ADSL2+,8.442,8.913,8.354,0.951,0.999,0.946,27.105,0.001,26.186,0,0.869,0.408,1.16,0.448,28.881,0.65%,29.232,0.78%,923.877,815.996,1.23,0.88
125794,0-385,Urban,3,FTTP,160,FTTx,156.012,205.605,136.557,20.804,21.096,20.704,10.879,0,10.955,0,0.211,0.114,0.254,0.169,10.586,0.04%,10.599,0.01%,169.137,193.505,,
125802,1635-1992,Urban,3,Virgin,100,Cable,102.647,105.397,101.028,5.161,5.406,5.164,17.704,0,18.018,0,1.533,0.137,2.293,0.238,15.849,0.04%,16.719,0.00%,270.031,285.005,1,0.17
125808,1992-2563,Urban,3,Virgin,20,Cable,20.188,20.474,19.918,1.135,1.184,1.137,15.21,0,15.285,0,2.573,0.427,2.848,0.905,15.459,0.02%,16.189,0.02%,308.507,333.714,1,1.61
125812,1143-1367,Urban,3,Virgin,60,Cable,61.856,62.931,61.511,2.999,3.055,2.998,13.573,0,13.929,0,2.379,0.204,2.951,0.316,12.33,0.19%,13.053,0.02%,193.688,198.763,1,
125816,5000+,Rural,2,Orange,8,DSL,0.705,1.179,0.725,0.418,0.637,0.414,28.061,0.003,29.491,0.009,1.655,0.942,1.138,1.593,21.609,0.13%,23.136,0.41%,4331.097,4503.609,,0.19
125818,582-763,Rural,1,BT,8,DSL,6.39,6.936,5.67,0.363,0.401,0.348,30.784,0,31.675,0,1.687,0.492,0.838,0.866,29.932,0.22%,30.807,0.51%,821.978,1069.914,,0.1
125826,2563-5000,Urban,3,Virgin,60,Cable,62.078,62.675,61.465,6.851,7.224,6.859,13.264,0.001,13.245,0,1.745,0.212,2.479,0.302,12.771,0.06%,13.75,0.01%,238.449,242.433,1,
125834,0-385,Urban,2,Sky,20,ADSL2+,17.67,18.6,17.536,1.157,1.246,1.145,17.908,0,17.459,0,0.465,0.424,0.475,0.417,20.814,0.19%,20.926,0.03%,1278.418,1303.068,0.72,0.23
125836,1367-1635,Urban,3,Sky,20,ADSL2+,6.652,6.75,6.479,0.678,0.725,0.682,51.043,0,50.764,0,1.096,0.761,1.097,0.747,53.935,0.03%,54.023,0.07%,1484.656,,0.86,1.01
125838,1143-1367,Urban,3,Virgin,120,Cable,92.725,126.284,77.844,11.455,12.302,11.353,11.384,0.001,11.709,0.002,1.787,0.233,2.164,0.324,8.441,0.10%,9.085,0.16%,181.444,180.642,1,
125840,385-582,Urban,1,Zen,8,DSL,5.978,6.706,5.616,0.394,0.425,0.394,43.45,0.001,43.402,0.003,0.803,0.44,0.831,0.689,47.35,0.32%,48.242,0.07%,1039.795,1113.092,,0.12
125842,1992-2563,Urban,3,Virgin,120,Cable,123.151,126.749,121.518,9.88,12.064,9.964,17.887,0.017,17.948,0.014,2.142,0.113,2.313,0.187,16.294,2.04%,16.639,2.89%,1392.317,1623.575,1,
125850,2563-5000,Rural,1,Plusnet,8,DSL,2.473,4.528,2.599,0.726,0.771,0.702,66.942,0.001,67.003,0.006,1.839,7.894,2.261,8.181,57.655,0.09%,56.965,0.04%,1767.07,1719.545,,
125852,1143-1367,Urban,3,Virgin,120,Cable,116.147,126.719,113.723,11.535,12.043,11.603,13.709,0,13.608,0.005,2.387,0.158,2.787,0.251,14.077,0.15%,14.626,0.03%,216.14,251.125,1,
125860,1143-1367,Urban,3,Virgin,120,Cable,111.151,126.704,91.634,11.536,11.807,11.519,9.619,0,10.817,0,2.513,0.289,3.169,0.421,8.639,0.02%,9.664,0.05%,147.171,214.031,1,
126288,1367-1635,Urban,3,Virgin,30,Cable,33.301,33.353,33.28,1.967,2.047,1.922,10.102,0,10.481,0,2.452,0.094,3.013,0.107,8.65,0.01%,9.311,0.01%,189.547,192.981,1,0.59
128338,1367-1635,Urban,3,FTTP,330,FTTx,178.993,233.68,156.795,20.716,20.828,20.705,16.509,0,16.532,0,0.189,0.101,0.191,0.127,14.91,0.00%,14.874,0.00%,232.725,275.579,,0.03
132360,1367-1635,Urban,3,BT,8,DSL,4.213,5.813,4.168,0.217,0.34,0.205,92.301,0.008,99.623,0.018,51.025,0.837,58.616,1.617,55.636,0.17%,,,3649.67,4244.296,1.89,0.6
132362,946-1143,Urban,3,Virgin,60,Cable,62.349,62.7,62.02,2.992,3.052,2.991,12.323,0,13.121,0,2.162,0.217,3.132,0.301,11.966,0.06%,13.235,0.01%,222.701,226.713,1,0.38
132364,0-385,Urban,1,BT,8,DSL,6.375,6.889,6.061,0.356,0.394,0.342,25.88,0,25.973,0,1.276,0.524,1.401,0.995,25.259,0.04%,26.046,0.01%,1211.818,1088.399,,0.13
132366,0-385,Rural,1,BT,8,DSL,0.725,1.187,0.717,0.401,0.503,0.404,60.375,0.001,61.175,0.002,0.632,0.501,0.641,0.907,57.566,0.16%,58.095,0.15%,4519.519,4745.34,,
139082,2563-5000,Urban,3,Virgin,120,Cable,115.762,126.713,109.872,11.777,13.503,11.729,18.837,0.001,18.404,0,2.911,0.271,3.646,0.314,22.078,0.07%,22.43,0.01%,361.591,359.161,1,0.23
139084,763-946,Urban,1,Virgin,60,Cable,59.663,62.673,61.814,3.005,3.148,2.988,12.263,0,11.907,0,1.283,0.121,1.287,0.183,12.536,0.06%,12.986,0.02%,232.697,211.434,,0.17
139086,1143-1367,Urban,3,TalkTalk,20,ADSL2+,6.654,7.313,6.765,0.781,0.905,0.81,40.136,0.006,39.636,0.014,2.771,0.587,0.934,0.589,38.327,0.49%,38.201,1.41%,2018.062,2315.049,1.9,0.96
139090,582-763,Urban,3,TalkTalk,20,ADSL2+,14.858,15.221,14.823,0.862,0.919,0.865,21.278,0,20.979,0,0.784,0.403,0.818,0.444,20.358,0.12%,20.445,0.14%,527.682,532.708,1.36,
141612,1143-1367,Urban,3,Virgin,60,Cable,57.63,62.674,57.258,2.972,3.049,2.963,13.02,0.003,15.211,0.002,4.767,0.243,6.365,0.266,11.913,0.22%,14.741,0.14%,222.824,245.922,1,0.38
143046,1992-2563,Rural,1,Plusnet,20,DSL,3.012,3.11,3.015,0.65,0.738,0.652,33.682,0,33.775,0,0.994,1.052,0.94,1.112,32.275,0.05%,32.497,0.02%,1270.767,1259.701,,0.16
143228,2563-5000,Urban,3,Virgin,30,Cable,29.572,31.35,27.762,1.96,2.047,1.964,21.574,0,20.496,0,2.379,0.373,1.755,0.7,18.277,0.06%,19.501,0.01%,335.712,356.425,1,0.59
143968,1367-1635,Urban,3,Virgin,60,Cable,60.927,62.689,57.277,2.996,3.048,2.993,13.714,0,14.807,0,1.531,0.219,2.235,0.325,13.844,0.02%,14.76,0.01%,253.733,280.247,1,
144418,582-763,Urban,3,Virgin,30,Cable,33.275,33.365,33.244,1.994,2.039,1.996,10.976,0.004,10.972,0.002,2.092,0.149,2.123,0.243,16.326,0.01%,16.384,0.03%,249.024,268.397,1,0.59
144544,763-946,Urban,3,Virgin,30,Cable,33.143,33.362,33.022,1.999,2.054,1.998,9.593,0,9.862,0,2.26,0.146,2.708,0.261,8.564,0.03%,9.152,0.01%,172.379,187.035,1,0.59
144578,0-385,,,BT,20,DSL,4.67,4.841,4.723,0.851,0.878,0.843,36.811,0,36.94,0,0.602,0.359,0.597,0.369,35.191,0.01%,35.482,0.00%,946.814,1148.076,0,
146312,1635-1992,Urban,3,Virgin,30,Cable,29.723,31.338,29.664,1.948,2.031,1.939,41.384,0,42.955,0,7.585,0.288,8.743,0.406,24.477,0.07%,26.878,0.00%,490.748,458.888,1,0.59
