unit_id,Ofcom product,Region,Country,Urban Rural,Distance from Exchange,Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
812602,BT 8,East Midlands,England,Rural,3251 to 3500m,ADSL,B,1.644925687,1.268299613,1.728353806,1.659670951,1.592676387,1.68769471,0.369365988,0.346897806,0.374362322,0.36751531,0.319104,0.3744,2.00E-04,0,33.6558731,33.56946991,1.57391776,1.94011538,0.68114474,1.063,31.87084118,32.21036207,4.00E-04,1.00E-04,2167.399678,2187.420644,0.0968,0,0,1,0,2293.396433,0,0,1,0,2348.378115,0,0,1,0,1651.095416,0,0,1,0,1686.641349,0,0,1,0,2249.955975,0,0,1,0,2257.069687
30624,Plusnet 55,East,England,Rural,3251 to 3500m,FTTC,B,41.91001497,40.17507484,42.30823148,41.7561482,41.03086039,42.15539381,9.157513084,9.035211097,9.184269162,9.161082194,7.338528,11.170904,2.00E-04,0,15.23072696,15.3927955,0.34501096,0.3489,0.28669315,0.35086207,6.83579589,6.94484746,0.001,0.0027,120.0448615,119.6333559,0.1613,0.0556,0.8222,0.1222,0,1064.690567,,,,,,1,0,0,0,794.6593226,,,,,,0,1,0,0,781.8688925,,,,,
125864,BT 76,North West,England,Rural,3251 to 3500m,FTTC,B,60.53437092,56.46254632,61.38199432,59.92955227,58.88804439,60.48314245,16.91505679,16.31176697,16.97369548,16.93578348,16.822608,16.989528,2.00E-04,0,11.6459944,11.6842413,0.19819061,0.1961,0.25201934,0.43771429,10.95110137,11.20947541,2.00E-04,0,215.0791948,221.2364833,0.0323,0.0444,0.8111,0.1444,0,861.2917861,0.0333,0.8,0.1667,0,812.83175,1,0,0,0,915.6889328,1,0,0,0,998.0149839,0,1,0,0,614.7159669,0,1,0,0,618.1851094
413134,BT 76,North West,England,Rural,3251 to 3500m,FTTC,B,68.33756572,59.20544103,70.86678013,65.70810644,61.85543768,67.279872,18.55129446,18.45917058,18.57362968,18.53234466,18.369856,18.574376,1.00E-04,0,9.48854093,9.56018258,0.29870718,0.29742857,0.26857064,0.32310714,8.57850892,8.63462963,3.00E-04,2.00E-04,93.90770442,94.29132203,0.129,0.0444,0.8111,0.1444,0,542.1801056,0.0333,0.8,0.1667,0,518.3613167,1,0,0,0,551.1854851,1,0,0,0,618.4813934,0,1,0,0,352.028856,0,1,0,0,366.6429016
14255,BT 76,Wales,Wales,Rural,3251 to 3500m,FTTC,B,72.64229303,69.52744955,72.81056052,72.54223053,70.25921187,72.67823329,18.55820714,18.38007845,18.57684439,18.55261003,18.275008,18.575872,1.00E-04,0,11.66081558,11.87646662,0.18350138,0.18083871,0.38482094,0.39124138,10.28033569,10.33310169,2.00E-04,0,123.367646,123.4430492,0.0645,0.0418,0.8134,0.1448,0,959.3005209,0.0333,0.8,0.1667,0,906.3098,1,0,0,0,592.0815514,1,0,0,0,665.4673387,0,1,0,0,454.4557736,0,1,0,0,476.7038065
815343,EE 76,South East,England,Rural,3251 to 3500m,FTTC,B,65.94624109,61.76820387,66.95030039,66.08796125,65.89291861,66.38736452,15.74942545,15.37757342,15.78582968,15.69103716,14.05792,15.886056,8.00E-04,0,10.71676449,10.05708065,0.30778125,0.349,0.85007813,0.764875,10.77299863,10.80031148,0.0023,0.0013,321.5420546,342.5156667,0.0968,0.0208,0.8333,0.1458,0,951.3336875,0,0.75,0.25,0,861.2779167,1,0,0,0,1147.776663,1,0,0,0,1298.702455,0,1,0,0,1819.038092,0,1,0,0,2885.316933
947990,Sky 8,Northern Ireland,Northern Ireland,Rural,3251 to 3500m,ADSL,B,5.033187337,3.758610322,5.277097548,4.620846456,4.2759984,4.8324128,0.3226992,0.269242322,0.367640258,0.297574836,0.165192,0.65496,0.0015,0,13.98125565,13.5358678,2.13081155,2.7302963,0.63903343,1.005,37.71661051,40.46415385,0.0067,0.0065,1093.813058,1223.702966,2.6774,0,0.8319,0.1681,0,2013.616823,0,0.7818,0.2182,0,1982.978764,0,0.9888,0.0112,0,2528.691005,0,0.9483,0.0517,0,2548.210977,0,0.8986,0.1014,0,2634.708003,0,0.7143,0.2857,0,2791.001567
947794,TalkTalk 38,East,England,Rural,3251 to 3500m,FTTC,B,32.68184797,32.597346,32.72330033,32.68417089,32.670631,32.70281267,6.314558618,6.257952334,6.402483666,6.28429651,5.738672,6.590056,0,0,14.46999457,14.36564192,0.25237818,0.231875,0.28981818,0.32065217,14.35902186,14.38104348,0.0025,0,240.9632969,236.3055532,0.2083,0.0412,0.7732,0.1856,0,508.4811443,0,0.7143,0.2857,0,459.2209286,0.9948,0.0052,0,0,1081.330448,1,0,0,0,1153.904857,0,1,0,0,569.0427423,0,1,0,0,576.5435357
814529,Sky 76,North West,England,Rural,3251 to 3500m,FTTC,B,45.74263238,45.33112571,45.79625314,45.733868,45.51809215,45.75366578,18.6710504,18.61940829,18.69807886,18.66595969,18.570592,18.71728,0,0,6.91640646,6.87141951,0.19117296,0.19046154,0.34358491,0.36756522,11.61764496,11.64039623,2.00E-04,0,148.19097,141.20234,0.0714,0.0511,0.7827,0.1661,0,553.6772077,0.04,0.76,0.2,0,507.91694,1,0,0,0,935.0111846,1,0,0,0,1098.963333,0,1,0,0,676.9562826,0,1,0,0,635.1508491
141324,TalkTalk 38,North East,England,Rural,3251 to 3500m,FTTC,B,36.85645833,32.79815123,37.31219768,35.51301366,33.28467768,35.91898245,9.315917622,9.258551484,9.326741935,9.309622951,9.175648,9.330824,0,0,6.8920966,6.62702876,0.16946944,0.16590323,0.43884916,0.71607143,13.43705075,13.56425424,2.00E-04,2.00E-04,161.5639514,169.4660182,0.0323,0.0448,0.8123,0.1429,0,903.1338768,0.0333,0.8,0.1667,0,852.2216333,0.9946,0.0054,0,0,887.2417507,0.9672,0.0328,0,0,969.4761429,0,1,0,0,732.842122,0,1,0,0,738.008082
455638,BT 76,South East,England,Rural,3251 to 3500m,FTTC,B,70.84230058,68.96726323,70.99905548,70.5844412,70.12659148,70.87232,16.2425591,15.65384026,16.29936955,16.15605953,13.497944,16.527592,1.00E-04,0,9.09029993,9.12523307,0.20362849,0.198,0.32526536,0.3346,8.28708779,8.8882931,2.00E-04,0,258.5719904,260.5641803,0.0645,0.0446,0.8106,0.1448,0,903.9765571,0.0333,0.8,0.1667,0,853.1006167,1,0,0,0,1397.10493,1,0,0,0,1610.959613,0,1,0,0,880.2599784,0,1,0,0,942.9186129
939836,BT 38,South East,England,Rural,3501 to 3750,FTTC,B,33.8876396,27.86489394,35.43448439,33.9746416,33.08960697,34.72964,1.518848934,1.28512129,1.59336671,1.516143259,1.287808,1.624536,7.00E-04,0,8.2156552,8.26663889,0.39897115,0.4475,0.24622903,0.23877273,7.20993713,7.04464912,2.00E-04,1.00E-04,155.8919469,146.8148936,1.4194,0.0405,0.8243,0.1351,0,458.330946,0.0455,0.7727,0.1818,0,437.6624546,0.9865,0.0135,0,0,1085.888459,1,0,0,0,1094.000571,0,1,0,0,995.6226184,0,1,0,0,1410.702391
812836,Sky 38,Wales,Wales,Rural,3501 to 3750,FTTC,B,35.97480941,30.2277089,37.31528077,35.27232579,33.68404524,35.69751697,7.976867074,7.487620903,8.068389162,7.974325395,6.649128,8.080392,2.00E-04,0,6.53133976,6.29251788,0.33416838,0.32557143,0.55645704,0.5892381,12.3245847,12.83686441,5.00E-04,8.00E-04,231.2792339,304.2566487,0.0645,0.0467,0.7782,0.1751,0,922.5772841,0.0465,0.7209,0.2326,0,854.5415814,0.973,0.027,0,0,1131.336515,0.9302,0.0698,0,0,1407.56863,0,1,0,0,640.4651226,0,1,0,0,668.2992391
939852,Virgin 100,South West,England,Rural,3501 to 3750,Cable,B,108.5001342,103.6166723,109.7329819,107.0576033,106.4268018,107.9046009,5.992299837,5.872593032,6.029176516,5.98421287,5.805712,6.03504,1.00E-04,0,15.0182381,15.52448514,1.85384894,2.40121739,0.18222054,0.24831818,14.97245288,15.71836364,3.00E-04,6.00E-04,307.8802244,321.7321739,0.0323,0.0379,0.8107,0.1514,0,466.4010694,0.0213,0.7872,0.1915,0,457.1128723,1,0,0,0,425.4071037,1,0,0,0,455.6991667,0,1,0,0,666.8569727,0,1,0,0,667.2640408
947438,BT 76,Wales,Wales,Rural,3501 to 3750,FTTC,A,73.55028239,71.01766529,73.76543355,73.02911619,71.3596624,72.99238613,20.80729245,20.76795484,20.81195819,20.80524379,20.74248,20.812528,0,0,16.30560473,16.57769345,0.16253251,0.1574,0.06947678,0.14547059,9.07281956,9.07737288,4.00E-04,0.0015,95.49971037,97.91475,0.129,0.0456,0.8208,0.1336,0,495.753443,0.027,0.7838,0.1892,0,498.1442973,1,0,0,0,532.8491698,1,0,0,0,552.5985854,0,1,0,0,563.9398208,0,1,0,0,622.6876667
975682,BT 17,Northern Ireland,Northern Ireland,Rural,3501 to 3750,ADSL,B,3.001859607,2.119379613,3.311326194,2.948216653,2.796891714,3.121801714,0.351562758,0.322686194,0.363554065,0.35108128,0.287048,0.366336,2.00E-04,0,43.48974445,60.74442237,1.70983456,1.68946667,1.06747426,2.346125,46.1121327,62.55213333,0.0015,0.0015,1390.081575,1490.977804,0.5806,0,0.5694,0.4306,0,32300.76407,,,,,,0,0.8375,0.1625,0,2986.40081,,,,,,0,0,1,0,2604.424618,,,,,
35212,Vodafone UK 38,South West,England,Rural,3501 to 3750,FTTC,B,25.54761226,17.68230107,28.2344432,24.93347888,22.51694841,26.63637793,7.423250677,5.879502134,7.8402384,7.384135579,1.426104,8.425664,0.0013,0.0022,34.66164824,34.48210742,0.5925,0.61185714,0.89699702,0.86296552,26.31750224,26.31114286,0.0013,0.0014,347.2204654,325.1845862,1.1333,0.0471,0.8,0.1529,0,1189.678647,0.0357,0.7857,0.1786,0,1226.637607,0.8202,0.1573,0.0225,0,2406.000814,0.7241,0.2759,0,0,1964.900081,0,1,0,0,2036.065619,0,1,0,0,2452.160029
947726,EE 8,South West,England,Rural,3501 to 3750,ADSL,B,2.397358126,1.977715613,2.493966968,2.414480906,2.360352552,2.43908469,0.718154453,0.693708387,0.723677162,0.71812448,0.642992,0.724888,2.00E-04,0,39.16818365,39.96201207,2.34404,1.59956522,1.33027092,1.148,34.77786183,34.11283929,5.00E-04,0,1631.910919,1608.586571,0.2581,0,0,1,0,21971.70861,,,,,,0,0.7571,0.2429,0,1974.026873,,,,,,0,0,1,0,2206.982276,,,,,
942440,Sky 8,North East,England,Rural,3501 to 3750,ADSL,B,2.68718685,2.033388645,2.786228903,2.68685747,2.535604445,2.762552,0.573406192,0.521896516,0.598284903,0.574440334,0.455832,0.62444,0.003,8.00E-04,32.06251049,32.33609683,1.08483492,1.17227273,0.65326667,0.59881818,40.26057483,41.09161404,9.00E-04,0.001,1638.566915,1807.870392,0.4516,0,0.1522,0.8478,0,15210.1635,0,0.1633,0.8367,0,22608.71829,0,0.8457,0.1484,0.0059,2929.668039,0,0.8431,0.1569,0,2959.66361,0,0,1,0,3164.69343,0,0,1,0,3053.901447
