unit_id,WT_national,WT_ISP,Valid_panel,Pack_number,Tech,Plusnet_upload,LLUvsNon,MarketClass,URBAN2,Nation,Dist_ADSL1,Dist_ADSL2,DL24hrmean,DL24hrmax,DLpeakmean,DLpeakmax,UL24hrmean,UL24hrmax,UL24hrmean_A,UL24hrmax_A,DNSFail24hr,DNSFailPeak,DNSRTT24hr,DNSRTTPeak,JitterUp24hr,JitterUpPeak,JitterDown24hr,JitterDownPeak,Latency24hr,LatencyPeak,PacketLoss24hr,PacketLossPeak,Web24hr,WebPeak,Disconnections,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak,iPlayerUHD24hr,iPlayerHD24hr,iPlayerSD24hr,iPlayerFailed24hr,iPlayerStartupDelay24hr,iPlayerUHDPeak,iPlayerHDPeak,iPlayerSDPeak,iPlayerFailedPeak,iPlayerStartupDelayPeak
461502,0.33,0.93,Valid panelist,BT 80,FTTC 76,#NULL!,Y,3,Urban,England,#NULL!,#NULL!,72.99306575,74.113088,72.87736311,74.113088,18.90790659,19.08172,18.90261624,19.08172,0.19,1.07,14.85280385,15.18947683,0.22795597,0.23105556,2.32681447,2.24033333,13.30698555,13.25604762,0.04,0.18,184.7325285,218.8809722,0.167,0,1,0,0,424,0,1,0,0,563,1,0,0,0,531,1,0,0,0,518.877625,0,1,0,0,1051,0,1,0,0,1677.9105
814015,0,1,Valid panelist,Virgin 200,Cable,#NULL!,N,3,Urban,England,#NULL!,#NULL!,197.6930034,209.90056,190.6203151,205.945016,11.96025842,12.40768,11.83694695,12.34936,0,0,15.19554707,15.47733565,1.56040741,1.69825,0.1500184,0.192125,15.68915988,15.93288889,0.17,0.02,272.8760732,218.7539444,0.688,0,1,0,0,329,0,1,0,0,323,1,0,0,0,404,1,0,0,0,347.6695294,0,1,0,0,720,0,1,0,0,870.5327647
563372,0,1,Valid panelist,Virgin 200,Cable,#NULL!,N,3,Urban,England,#NULL!,#NULL!,198.2769601,209.943584,187.9883868,204.077384,12.43264684,13.00352,12.45049067,12.984576,0.02,0,13.63419339,14.05481828,1.71481429,1.91685,0.15535511,0.1952381,15.19583476,15.34847619,0.05,0,261.0017077,258.1644634,0.267,0,1,0,0,442,0,1,0,0,502,1,0,0,0,364,1,0,0,0,354.0306471,0,1,0,0,972,0,1,0,0,1089.583294
674220,0,0,Valid panelist,Virgin 150,Cable,#NULL!,N,3,Semi-urban,England,#NULL!,#NULL!,155.3224582,157.49976,153.3770713,157.462928,10.10811508,10.306832,10.06580447,10.305048,0.09,0,14.13213643,15.37622826,2.08300667,3.20346154,0.13136,0.1676,15.7559576,16.81540541,0.06,0.01,259.8924016,292.2672813,0.5,0,1,0,0,407,0,1,0,0,550,1,0,0,0,370,1,0,0,0,352.9112121,0,1,0,0,765,0,1,0,0,1079.587933
30496,0.48,1,Valid panelist,Virgin 100,Cable,#NULL!,N,3,Semi-urban,England,#NULL!,#NULL!,102.1232225,107.472568,98.8817994,107.441296,6.961737179,7.3332,6.976638947,7.3332,0.01,0.1,14.66075147,15.4504726,1.77056156,2.63144444,0.17613213,0.2692,15.46071176,16.27451282,0.12,0.51,299.0255304,327.8341282,0.933,0,1,0,0,449,0,1,0,0,477,1,0,0,0,405,1,0,0,0,420.583,0,1,0,0,1920,0,1,0,0,1796.4804
816853,0,1,Valid panelist,Virgin 200,Cable,#NULL!,N,3,Urban,England,#NULL!,#NULL!,158.5707851,209.92192,160.4711455,206.8944,11.0557391,12.453072,10.79047012,12.379128,0.82,0.27,15.98365452,16.403625,1.49864493,1.883,0.21319565,0.2135,15.73634035,16.32941176,2.3,3.51,678.1611424,631.9497333,0.231,0,1,0,0,598,0,1,0,0,578,1,0,0,0,2393,0.8125,0.0625,0.125,0,4373.618643,0,1,0,0,901,0,1,0,0,835.2930667
2399,1.64,0.54,Valid panelist,Talk Talk 20,ADSL2,#NULL!,Y,3,Urban,England,#NULL!,Distance band 2,18.16452258,19.1112,18.16860242,19.06136,0.964455038,1.07036,0.9697295,1.049936,0.4,0,25.18705878,25.81378322,0.7160304,0.832375,0.45002121,0.500125,23.77243393,23.72088571,0.24,1.07,394.1635282,380.5104242,0.733,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,
455606,1.17,0.43,Valid panelist,BT 20,ADSL2,#NULL!,Y,3,Urban,England,#NULL!,Distance band 1,19.78552942,20.242072,19.79254533,20.242072,0.931795778,1.09964,0.92134497,1.037296,0.08,0.42,18.16666767,17.88076912,0.4856597,0.41929412,0.32157612,0.31370588,10.40773857,10.55758333,0.03,0,293.8382833,324.134,0.167,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,
814727,2.94,1.26,Valid panelist,Sky 20,ADSL2,#NULL!,Y,3,Urban,England,#NULL!,Distance band 9,14.31681455,16.0216,14.39112736,16.0216,1.114002,1.164184,1.11798368,1.14796,0.05,0,13.1984139,13.11216254,0.54234272,0.53427273,0.57583099,0.21327273,12.03809153,11.97838462,0.06,0.01,748.163253,703.80592,0.158,0,1,0,0,491,0,1,0,0,504,0,1,0,0,1021,0,1,0,0,1009.0981,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,,,,,
814807,0,0.95,Valid panelist,Plusnet 80,FTTC 76,20,Y,3,Urban,England,#NULL!,#NULL!,47.36415164,49.3278,47.4341267,49.3278,18.57654712,18.639056,18.57459756,18.639056,0,0,17.66742268,17.62750501,0.29043137,0.28226316,0.38448366,0.38647368,12.66927273,12.75081579,0.02,0,197.4957913,206.8675526,0.037,0,1,0,0,593,0,1,0,0,546,1,0,0,0,685,1,0,0,0,681.9845,0,1,0,0,1035,0,1,0,0,1434.981861
